metric,value
n_assets,10
n_components_80,3
n_components_90,5
pc1_explained,0.49294448145985736
pc2_explained,0.2710880382863884
cum_2,0.7640325197462458
cum_3,0.8371699409058073
sample_start,2016-01-01
sample_end,2026-06-30
method,eigendecomposition of Pearson correlation matrix
figure10_shows,scaled_loadings_v_ik_sqrt_lambda_k
figure10_interpretation,correlation between standardized variables and principal component scores
