ticker,asset_class,weight,weight_pct
SPY,equity,0.08571428571428572,8.571428571428571
QQQ,equity,0.08571428571428572,8.571428571428571
SMH,equity,0.08571428571428572,8.571428571428571
NVDA,equity,0.08571428571428572,8.571428571428571
TSLA,equity,0.08571428571428572,8.571428571428571
MU,equity,0.08571428571428572,8.571428571428571
AAPL,equity,0.08571428571428572,8.571428571428571
BND,fixed_income,0.13333333333333333,13.333333333333334
IEF,fixed_income,0.13333333333333333,13.333333333333334
TLT,fixed_income,0.13333333333333333,13.333333333333334
