date,SPY,QQQ,SMH,NVDA,TSLA,MU,AAPL,BND,IEF,TLT
2016-01-05,0.0016896550501439185,-0.001736722887513465,-0.00933775964956629,0.015936717433482857,8.951101253942103e-05,0.03362213151634297,-0.02537854184026537,0.0012369321626399241,-0.00028295120486906326,-0.004042870382289345
2016-01-06,-0.012694215431059678,-0.009651873995573605,-0.02618742619394801,-0.042229355609581576,-0.019843788561297093,-0.04132811307342439,-0.019764035435683485,0.004444666426672724,0.006019359313316875,0.013385665333674647
2016-01-07,-0.024284436887470163,-0.03181440804087387,-0.031342929418392514,-0.04045194632963486,-0.015597626568759423,-0.0401774963212723,-0.04312075343386927,0.0001241992761712496,0.00215353175897914,0.0017926622629328905
2016-01-08,-0.011037250830636423,-0.008234259916976667,-0.015944693562180215,-0.021700177531044848,-0.021798618902587004,-0.024454880490619762,0.00527355241572703,0.001230925682958163,0.0025232761197204186,0.004468681953184043
2016-01-11,0.0009899185035293849,0.003071574867814662,0.009025730348412097,0.0016860527076335743,-0.015041470598887025,-0.06189142295788476,0.016062674624920156,-0.004192113678841597,-0.003178066021768923,-0.01100401273365238
2016-01-12,0.008035962835642554,0.011531379914610963,0.008540150563504082,0.016706563163690288,0.010148015367819617,0.015050019600646869,0.014409311123889334,0.002591742585139466,0.0044839692506089,0.014322028292354532
2016-01-13,-0.025257121192023047,-0.03509819779543042,-0.02979782198233767,-0.030958735744538543,-0.04709850033150001,-0.053281396449293084,-0.02604691207078174,0.0024605440770591926,0.003906698795364659,0.009809338751719382
2016-01-14,0.016283672986001346,0.021071521944154865,0.02614674529384803,-0.02036967738822493,0.02888335550021133,-0.0033222443810515243,0.021635370823984895,-0.0012299305733975972,-0.002044153382872754,-0.009405162878769765
2016-01-15,-0.021700030447028527,-0.0315283795051589,-0.05235277857651654,-0.05594860757112083,-0.005788304635901255,-0.08143032180819489,-0.024308639380366686,0.0017213902513612883,0.004640793981668454,0.015467151554541403
2016-01-19,0.0013305683824346483,0.002179221832469636,0.006616127907495442,0.008082422348523192,-0.0013180497358616836,-0.025595409885934416,-0.004850360655096677,-0.0012298368000385558,-0.0012973427128493075,-0.0031066721504068025
2016-01-20,-0.012898257761139863,-0.0030718771045862834,0.002549573541100869,0.0054731852749905835,-0.02984700672603167,-0.07197367803120398,0.0013442891430743514,0.001106532021311978,0.004902001793677631,0.01047440426470426
2016-01-21,0.005586822330916205,0.0009917990806178763,0.013697274085214381,0.011577894473565794,0.006371174528862555,0.0765925087120422,-0.00507590750001548,-0.0006140710913066532,-0.0024946036846898553,-0.006811406940489059
2016-01-22,0.020307582692380834,0.028542691921434524,0.018866390761449296,0.02311164556340889,0.012819409432011437,0.020073737736551325,0.051802068116584804,-0.0003688919314897731,-0.0022214342140156654,-0.0038223359242140122
2016-01-25,-0.015232236665439616,-0.014951773531587748,-0.011360274820376525,-0.0010549321503932538,-0.030935193433109923,-0.05477023103166027,-0.01971551928961177,0.0,0.0033311540591686043,0.005410214257092469
