asset_i,asset_j,correlation
SPY,TLT,-0.15593992662801665
SPY,IEF,-0.13013291036329758
MU,IEF,-0.1249881666267604
MU,TLT,-0.1220276421556607
QQQ,TLT,-0.10383382557799427
