Date,SPY,QQQ,SMH,NVDA,TSLA,MU,AAPL,BND,IEF,TLT
2016-01-04,169.47158813476562,101.60562896728516,24.01347541809082,0.7886258363723755,14.894000053405762,13.97371768951416,23.709102630615234,59.30561065673828,83.49124145507812,90.64979553222656
2016-01-05,169.7581787109375,101.4293212890625,23.790287017822266,0.8012946248054504,14.895333290100098,14.451531410217285,23.114971160888672,59.37901306152344,83.46762084960938,90.28404998779297
2016-01-06,167.61685180664062,100.45504760742188,23.17536735534668,0.7681609988212585,14.602666854858398,13.866450309753418,22.66261100769043,59.64352035522461,83.9715576171875,91.50068664550781
2016-01-07,163.59539794921875,97.30943298339844,22.460248947143555,0.7377074956893921,14.376667022705078,13.320374488830566,21.706151962280273,59.65092849731445,84.152587890625,91.66486358642578
2016-01-08,161.7996826171875,96.5114517211914,22.10496711730957,0.721871554851532,14.066666603088379,12.998577117919922,21.8209228515625,59.72439956665039,84.36519622802734,92.07540130615234
2016-01-11,161.95993041992188,96.808349609375,22.305383682250977,0.7230896949768066,13.856666564941406,12.218466758728027,22.17425537109375,59.474552154541016,84.09750366210938,91.06775665283203
2016-01-12,163.2666778564453,97.93114471435547,22.49669075012207,0.7352715134620667,13.998000144958496,12.403745651245117,22.496084213256836,59.6288948059082,84.4754409790039,92.38141632080078
2016-01-13,159.19467163085938,94.55355834960938,21.836227416992188,0.712857186794281,13.354000091552734,11.760154724121094,21.917695999145508,59.775794982910156,84.80610656738281,93.29207611083984
2016-01-14,161.80816650390625,96.56708526611328,22.414703369140625,0.698483407497406,13.745332717895508,11.721149444580078,22.39706039428711,59.70232009887695,84.63292694091797,92.41876220703125
2016-01-15,158.33474731445312,93.56997680664062,21.271419525146484,0.660477340221405,13.666000366210938,10.804519653320312,21.859182357788086,59.805179595947266,85.02660369873047,93.85932922363281
2016-01-19,158.54556274414062,93.77410888671875,21.412620544433594,0.6658372282981873,13.64799976348877,10.531482696533203,21.753414154052734,59.73167419433594,84.91636657714844,93.56819152832031
2016-01-20,156.51373291015625,93.48648834228516,21.467283248901367,0.6694914698600769,13.24666690826416,9.800127983093262,21.782676696777344,59.79780578613281,85.33364868164062,94.55341339111328
2016-01-21,157.39059448242188,93.57925415039062,21.763349533081055,0.6772878170013428,13.33133316040039,10.580238342285156,21.67238998413086,59.7610969543457,85.12104034423828,93.91156005859375
2016-01-22,160.61949157714844,96.28874206542969,22.17784309387207,0.6931233406066895,13.50333309173584,10.794769287109375,22.82465171813965,59.73905563354492,84.93215942382812,93.55328369140625
2016-01-25,158.19143676757812,94.8597640991211,21.927322387695312,0.6923925280570984,13.092000007629395,10.219436645507812,22.379058837890625,59.73905563354492,85.2155532836914,94.06079864501953
2016-01-26,160.34967041015625,95.71343994140625,22.114078521728516,0.6992142200469971,12.904000282287598,10.287698745727539,22.502830505371094,59.82722473144531,85.27853393554688,94.10558319091797
2016-01-27,158.6045379638672,93.32872772216797,21.86811065673828,0.6909307241439819,12.538000106811523,10.131678581237793,21.024250030517578,59.82722473144531,85.34151458740234,94.0832290649414
2016-01-28,159.43072509765625,94.64635467529297,21.754236221313477,0.6833785772323608,12.646666526794434,9.644105911254883,21.175025939941406,59.8713493347168,85.45176696777344,94.21754455566406
